Series Name,Series Code,Country Name,Country Code,2020 [YR2020]
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Pre-demographic dividend,PRE,1143485552207.07
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Small states,SST,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,South Asia,SAS,2843353785233.32
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,South Asia (IDA & IBRD),TSA,2843353785233.32
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Sub-Saharan Africa,SSF,1503144212698.14
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Sub-Saharan Africa (excluding high income),SSA,1502123018328.6
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Sub-Saharan Africa (IDA & IBRD countries),TSS,1503144212698.14
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Upper middle income,UMC,17632334471631.4
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,World,WLD,65905566977776.8
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 03/30/2023,,,,
